"","Acyrthosiphon_pisum","Amphorophora_rubi","Aphis_fabae","Aphis_ruborum","Aphis_sambuci","Cavariella_pastinacae","Cavariella_theobaldi","Drepanosiphum_aceris","Drepanosiphum_platanoidis","Hyperomyzus_lactucae","Macrosiphoniella_artemisiae","Macrosiphum_albifrons","Macrosiphum_euphorbiae","Macrosiphum_funestum","Macrosiphum_gei","Macrosiphum_hellebori","Macrosiphum_rosae","Macrosiphum_sp.","Metopolophium_dirhodum","Periphyllus_lyropictus","Periphyllus_testudinaceus","Rhopalomyzus_lonicerae","Sitobion_avenae","Sitobion_fragariae","Tuberculatus_sp1","Uroleucon_ambrosiae","Uroleucon_escalantii","Uroleucon_sonchi","Uroleucon_sp5","Utamphorophora_humboldti","Wahlgreniella_nervata"
"Acyrthosiphon_pisum",0,0.273584906,0.367924528,0.424528302,0.688679245,0.405660377,0.396226415,0.5,0.405660377,0.235849057,0.311320755,0.235849057,0.235849057,0.273584906,0.245283019,0.20754717,0.311320755,0.235849057,0.235849057,0.424528302,0.518867925,0.311320755,0.245283019,0.273584906,0.905660377,0.254716981,0.245283019,0.301886792,0.283018868,0.283018868,0.245283019
"Amphorophora_rubi",0.273584906,0,0.349056604,0.367924528,0.660377358,0.349056604,0.377358491,0.509433962,0.433962264,0.20754717,0.254716981,0.226415094,0.235849057,0.254716981,0.254716981,0.216981132,0.283018868,0.245283019,0.226415094,0.471698113,0.594339623,0.264150943,0.245283019,0.320754717,0.896226415,0.226415094,0.20754717,0.235849057,0.235849057,0.216981132,0.20754717
"Aphis_fabae",0.367924528,0.349056604,0,0.301886792,0.603773585,0.377358491,0.377358491,0.481132075,0.424528302,0.330188679,0.358490566,0.377358491,0.386792453,0.377358491,0.405660377,0.349056604,0.396226415,0.396226415,0.377358491,0.452830189,0.528301887,0.330188679,0.377358491,0.405660377,0.867924528,0.330188679,0.358490566,0.386792453,0.339622642,0.320754717,0.367924528
"Aphis_ruborum",0.424528302,0.367924528,0.301886792,0,0.660377358,0.405660377,0.471698113,0.537735849,0.5,0.367924528,0.424528302,0.41509434,0.471698113,0.424528302,0.452830189,0.41509434,0.462264151,0.462264151,0.443396226,0.462264151,0.575471698,0.349056604,0.443396226,0.509433962,0.943396226,0.443396226,0.396226415,0.405660377,0.433962264,0.386792453,0.386792453
"Aphis_sambuci",0.688679245,0.660377358,0.603773585,0.660377358,0,0.70754717,0.783018868,0.79245283,0.745283019,0.660377358,0.660377358,0.688679245,0.698113208,0.698113208,0.698113208,0.660377358,0.716981132,0.688679245,0.669811321,0.70754717,0.811320755,0.622641509,0.679245283,0.698113208,0.613207547,0.660377358,0.698113208,0.650943396,0.669811321,0.650943396,0.641509434
"Cavariella_pastinacae",0.405660377,0.349056604,0.377358491,0.405660377,0.70754717,0,0.245283019,0.528301887,0.547169811,0.377358491,0.405660377,0.367924528,0.433962264,0.386792453,0.41509434,0.396226415,0.405660377,0.424528302,0.41509434,0.471698113,0.547169811,0.339622642,0.358490566,0.405660377,0.962264151,0.377358491,0.396226415,0.386792453,0.405660377,0.358490566,0.358490566
"Cavariella_theobaldi",0.396226415,0.377358491,0.377358491,0.471698113,0.783018868,0.245283019,0,0.509433962,0.452830189,0.452830189,0.405660377,0.462264151,0.490566038,0.443396226,0.452830189,0.41509434,0.443396226,0.462264151,0.396226415,0.490566038,0.556603774,0.41509434,0.396226415,0.424528302,0.924528302,0.396226415,0.405660377,0.452830189,0.41509434,0.396226415,0.405660377
"Drepanosiphum_aceris",0.5,0.509433962,0.481132075,0.537735849,0.79245283,0.528301887,0.509433962,0,0.254716981,0.528301887,0.5,0.481132075,0.528301887,0.528301887,0.528301887,0.5,0.566037736,0.518867925,0.443396226,0.509433962,0.547169811,0.490566038,0.518867925,0.537735849,0.943396226,0.452830189,0.528301887,0.518867925,0.5,0.462264151,0.537735849
"Drepanosiphum_platanoidis",0.405660377,0.433962264,0.424528302,0.5,0.745283019,0.547169811,0.452830189,0.254716981,0,0.490566038,0.481132075,0.405660377,0.424528302,0.433962264,0.443396226,0.386792453,0.471698113,0.433962264,0.396226415,0.481132075,0.556603774,0.443396226,0.443396226,0.462264151,0.924528302,0.433962264,0.443396226,0.490566038,0.452830189,0.405660377,0.433962264
"Hyperomyzus_lactucae",0.235849057,0.20754717,0.330188679,0.367924528,0.660377358,0.377358491,0.452830189,0.528301887,0.490566038,0,0.264150943,0.188679245,0.20754717,0.254716981,0.216981132,0.179245283,0.283018868,0.20754717,0.216981132,0.424528302,0.566037736,0.245283019,0.226415094,0.339622642,0.952830189,0.226415094,0.216981132,0.245283019,0.235849057,0.188679245,0.179245283
"Macrosiphoniella_artemisiae",0.311320755,0.254716981,0.358490566,0.424528302,0.660377358,0.405660377,0.405660377,0.5,0.481132075,0.264150943,0,0.301886792,0.29245283,0.273584906,0.301886792,0.273584906,0.311320755,0.29245283,0.273584906,0.452830189,0.613207547,0.273584906,0.320754717,0.367924528,0.905660377,0.273584906,0.235849057,0.273584906,0.311320755,0.283018868,0.254716981
"Macrosiphum_albifrons",0.235849057,0.226415094,0.377358491,0.41509434,0.688679245,0.367924528,0.462264151,0.481132075,0.405660377,0.188679245,0.301886792,0,0.094339623,0.179245283,0.08490566,0.08490566,0.188679245,0.075471698,0.20754717,0.386792453,0.575471698,0.235849057,0.216981132,0.320754717,0.924528302,0.245283019,0.254716981,0.273584906,0.311320755,0.235849057,0.235849057
"Macrosiphum_euphorbiae",0.235849057,0.235849057,0.386792453,0.471698113,0.698113208,0.433962264,0.490566038,0.528301887,0.424528302,0.20754717,0.29245283,0.094339623,0,0.179245283,0.047169811,0.08490566,0.20754717,0.037735849,0.245283019,0.396226415,0.58490566,0.264150943,0.254716981,0.358490566,0.943396226,0.283018868,0.29245283,0.29245283,0.330188679,0.264150943,0.254716981
"Macrosiphum_funestum",0.273584906,0.254716981,0.377358491,0.424528302,0.698113208,0.386792453,0.443396226,0.528301887,0.433962264,0.254716981,0.273584906,0.179245283,0.179245283,0,0.188679245,0.150943396,0.047169811,0.179245283,0.273584906,0.443396226,0.556603774,0.311320755,0.301886792,0.330188679,0.962264151,0.283018868,0.235849057,0.273584906,0.349056604,0.254716981,0.254716981
"Macrosiphum_gei",0.245283019,0.254716981,0.405660377,0.452830189,0.698113208,0.41509434,0.452830189,0.528301887,0.443396226,0.216981132,0.301886792,0.08490566,0.047169811,0.188679245,0,0.056603774,0.198113208,0.009433962,0.216981132,0.386792453,0.575471698,0.245283019,0.245283019,0.330188679,0.924528302,0.273584906,0.283018868,0.264150943,0.339622642,0.264150943,0.264150943
"Macrosiphum_hellebori",0.20754717,0.216981132,0.349056604,0.41509434,0.660377358,0.396226415,0.41509434,0.5,0.386792453,0.179245283,0.273584906,0.08490566,0.08490566,0.150943396,0.056603774,0,0.160377358,0.047169811,0.179245283,0.386792453,0.537735849,0.245283019,0.226415094,0.311320755,0.943396226,0.235849057,0.245283019,0.245283019,0.283018868,0.20754717,0.226415094
"Macrosiphum_rosae",0.311320755,0.283018868,0.396226415,0.462264151,0.716981132,0.405660377,0.443396226,0.566037736,0.471698113,0.283018868,0.311320755,0.188679245,0.20754717,0.047169811,0.198113208,0.160377358,0,0.188679245,0.283018868,0.462264151,0.547169811,0.339622642,0.330188679,0.358490566,0.971698113,0.320754717,0.273584906,0.29245283,0.386792453,0.283018868,0.273584906
"Macrosiphum_sp.",0.235849057,0.245283019,0.396226415,0.462264151,0.688679245,0.424528302,0.462264151,0.518867925,0.433962264,0.20754717,0.29245283,0.075471698,0.037735849,0.179245283,0.009433962,0.047169811,0.188679245,0,0.20754717,0.377358491,0.566037736,0.254716981,0.254716981,0.339622642,0.933962264,0.264150943,0.273584906,0.273584906,0.330188679,0.254716981,0.254716981
"Metopolophium_dirhodum",0.235849057,0.226415094,0.377358491,0.443396226,0.669811321,0.41509434,0.396226415,0.443396226,0.396226415,0.216981132,0.273584906,0.20754717,0.245283019,0.273584906,0.216981132,0.179245283,0.283018868,0.20754717,0,0.433962264,0.528301887,0.283018868,0.20754717,0.311320755,0.905660377,0.264150943,0.235849057,0.235849057,0.273584906,0.235849057,0.245283019
"Periphyllus_lyropictus",0.424528302,0.471698113,0.452830189,0.462264151,0.70754717,0.471698113,0.490566038,0.509433962,0.481132075,0.424528302,0.452830189,0.386792453,0.396226415,0.443396226,0.386792453,0.386792453,0.462264151,0.377358491,0.433962264,0,0.424528302,0.433962264,0.490566038,0.518867925,0.924528302,0.41509434,0.452830189,0.462264151,0.452830189,0.443396226,0.443396226
"Periphyllus_testudinaceus",0.518867925,0.594339623,0.528301887,0.575471698,0.811320755,0.547169811,0.556603774,0.547169811,0.556603774,0.566037736,0.613207547,0.575471698,0.58490566,0.556603774,0.575471698,0.537735849,0.547169811,0.566037736,0.528301887,0.424528302,0,0.613207547,0.537735849,0.518867925,1,0.547169811,0.622641509,0.575471698,0.58490566,0.58490566,0.566037736
"Rhopalomyzus_lonicerae",0.311320755,0.264150943,0.330188679,0.349056604,0.622641509,0.339622642,0.41509434,0.490566038,0.443396226,0.245283019,0.273584906,0.235849057,0.264150943,0.311320755,0.245283019,0.245283019,0.339622642,0.254716981,0.283018868,0.433962264,0.613207547,0,0.283018868,0.330188679,0.839622642,0.320754717,0.320754717,0.311320755,0.349056604,0.245283019,0.245283019
"Sitobion_avenae",0.245283019,0.245283019,0.377358491,0.443396226,0.679245283,0.358490566,0.396226415,0.518867925,0.443396226,0.226415094,0.320754717,0.216981132,0.254716981,0.301886792,0.245283019,0.226415094,0.330188679,0.254716981,0.20754717,0.490566038,0.537735849,0.283018868,0,0.216981132,0.91509434,0.254716981,0.264150943,0.264150943,0.235849057,0.273584906,0.226415094
"Sitobion_fragariae",0.273584906,0.320754717,0.405660377,0.509433962,0.698113208,0.405660377,0.424528302,0.537735849,0.462264151,0.339622642,0.367924528,0.320754717,0.358490566,0.330188679,0.330188679,0.311320755,0.358490566,0.339622642,0.311320755,0.518867925,0.518867925,0.330188679,0.216981132,0,0.924528302,0.311320755,0.339622642,0.377358491,0.377358491,0.339622642,0.29245283
"Tuberculatus_sp1",0.905660377,0.896226415,0.867924528,0.943396226,0.613207547,0.962264151,0.924528302,0.943396226,0.924528302,0.952830189,0.905660377,0.924528302,0.943396226,0.962264151,0.924528302,0.943396226,0.971698113,0.933962264,0.905660377,0.924528302,1,0.839622642,0.91509434,0.924528302,0,0.896226415,0.952830189,0.905660377,0.943396226,0.933962264,0.952830189
"Uroleucon_ambrosiae",0.254716981,0.226415094,0.330188679,0.443396226,0.660377358,0.377358491,0.396226415,0.452830189,0.433962264,0.226415094,0.273584906,0.245283019,0.283018868,0.283018868,0.273584906,0.235849057,0.320754717,0.264150943,0.264150943,0.41509434,0.547169811,0.320754717,0.254716981,0.311320755,0.896226415,0,0.169811321,0.150943396,0.198113208,0.245283019,0.20754717
"Uroleucon_escalantii",0.245283019,0.20754717,0.358490566,0.396226415,0.698113208,0.396226415,0.405660377,0.528301887,0.443396226,0.216981132,0.235849057,0.254716981,0.29245283,0.235849057,0.283018868,0.245283019,0.273584906,0.273584906,0.235849057,0.452830189,0.622641509,0.320754717,0.264150943,0.339622642,0.952830189,0.169811321,0,0.188679245,0.226415094,0.245283019,0.188679245
"Uroleucon_sonchi",0.301886792,0.235849057,0.386792453,0.405660377,0.650943396,0.386792453,0.452830189,0.518867925,0.490566038,0.245283019,0.273584906,0.273584906,0.29245283,0.273584906,0.264150943,0.245283019,0.29245283,0.273584906,0.235849057,0.462264151,0.575471698,0.311320755,0.264150943,0.377358491,0.905660377,0.150943396,0.188679245,0,0.216981132,0.273584906,0.245283019
"Uroleucon_sp5",0.283018868,0.235849057,0.339622642,0.433962264,0.669811321,0.405660377,0.41509434,0.5,0.452830189,0.235849057,0.311320755,0.311320755,0.330188679,0.349056604,0.339622642,0.283018868,0.386792453,0.330188679,0.273584906,0.452830189,0.58490566,0.349056604,0.235849057,0.377358491,0.943396226,0.198113208,0.226415094,0.216981132,0,0.29245283,0.245283019
"Utamphorophora_humboldti",0.283018868,0.216981132,0.320754717,0.386792453,0.650943396,0.358490566,0.396226415,0.462264151,0.405660377,0.188679245,0.283018868,0.235849057,0.264150943,0.254716981,0.264150943,0.20754717,0.283018868,0.254716981,0.235849057,0.443396226,0.58490566,0.245283019,0.273584906,0.339622642,0.933962264,0.245283019,0.245283019,0.273584906,0.29245283,0,0.245283019
"Wahlgreniella_nervata",0.245283019,0.20754717,0.367924528,0.386792453,0.641509434,0.358490566,0.405660377,0.537735849,0.433962264,0.179245283,0.254716981,0.235849057,0.254716981,0.254716981,0.264150943,0.226415094,0.273584906,0.254716981,0.245283019,0.443396226,0.566037736,0.245283019,0.226415094,0.29245283,0.952830189,0.20754717,0.188679245,0.245283019,0.245283019,0.245283019,0
