Aphid,Host,Host_category
Acyrthosiphon pisum,1,Herb
Amphorophora rubi,1,Herb
Aphis fabae,1,Herb
Aphis ruborum,1,Herb
Aphis verbasci,1,Herb
Aulacorthum solani,1,Herb
Cavariella pastinacae,1,Herb
Cavariella theobaldi,1,Herb
Cryptomyzus ribis,1,Herb
Drepanosiphum platanoidis,3,Tree
Hyalopteroides humilis,2,Grass
Hyalopterus pruni,2,Grass
Hyperomyzus lactucae,1,Herb
Macrosiphoniella artemisiae,1,Herb
Macrosiphum albifrons,1,Herb
Macrosiphoniella oblonga,1,Herb
Macrosiphum euphorbiae,1,Herb
Macrosiphum funestum,1,Herb
Macrosiphum gei,1,Herb
Macrosiphum hellebori,1,Herb
Macrosiphum rosae,1,Herb
Metopolophium dirhodum,2,Grass
Myzus ornatus,1,Herb
Myzus persicae,1,Herb
Periphyllus acericola,3,Tree
Periphyllus coracinus,3,Tree
Periphyllus lyropictus,3,Tree
Periphyllus testudinaceus,3,Tree
Rhopalosiphum padi,1,Herb
Sitobion avenae,2,Grass
Sitobion fragariae,2,Grass
Uroleucon sonchi,1,Herb
Utamphorophora humboldti,2,Grass
Wahlgreniella nervata,1,Herb
Rhopalomyzus lonicerae,2,Grass
Tuberculatus sp1,3,Tree
Macrosiphum sp,1,Herb
Uroleucon ambrosiae,1,Herb
Uroleucon escalantii,1,Herb
Drepanosiphum aceris,3,Tree
Aphis sambuci,1,Herb
Uroleucon sp5,1,Herb
