"","Row.names","Richness_Ham","Total_Individuals_Ham","Shannon_Index_Ham","Evenness_Ham","Simpson_Index_Ham","Richness_Para","Total_Individuals_Para","Shannon_Index_Para","Evenness_Para","Simpson_Index_Para"
"1","Amphorophora rubi",4,7,1.15374194270109,0.832248889600231,0.612244897959184,4,93,0.177944973478806,0.128360165394496,0.0631286853971557
"2","Aphis fabae",5,12,1.51710639706103,0.942631203937882,0.763888888888889,9,69,1.22498970215003,0.557516839555441,0.589371980676328
"3","Cavariella pastinacae",1,1,0,NA,0,1,5,0,NA,0
"4","Cavariella theobaldi",3,7,0.955699891112534,0.869915529773626,0.571428571428571,3,25,0.443306691468087,0.403515140000414,0.2176
"5","Drepanosiphum platanoidis",1,7,0,NA,0,4,69,0.575803569509088,0.415354477128462,0.281033396345306
"6","Hyperomyzus lactucae",4,18,1.11748995942315,0.806098611351497,0.623456790123457,2,40,0.588168777354191,0.848548178294616,0.39875
"7","Macrosiphoniella artemisiae",1,5,0,NA,0,1,85,0,NA,0
"8","Macrosiphum euphorbiae",1,19,0,NA,0,17,131,1.92387027909291,0.679041796527249,0.761027912126333
"9","Macrosiphum funestum",4,12,1.28605733687438,0.927694271103767,0.708333333333333,9,19,2.01016265863961,0.914864451897134,0.842105263157895
"10","Macrosiphum gei",2,4,0.562335144618808,0.811278124459133,0.375,5,69,1.31768830100417,0.81872577427439,0.676748582230624
"11","Macrosiphum hellebori",1,6,0,NA,0,7,56,0.89456647678027,0.459716229556929,0.396045918367347
"12","Macrosiphum rosae",1,2,0,NA,0,9,150,0.567691349370974,0.25836746740709,0.211555555555555
"13","Periphyllus lyropictus",4,24,0.881721481547744,0.6360276044371,0.489583333333333,2,45,0.299959552451294,0.432750158788754,0.161975308641975
"14","Periphyllus testudinaceus",1,1,0,NA,0,2,3,0.636514168294813,0.918295834054489,0.444444444444444
"15","Utamphorophora humboldti",1,2,0,NA,0,2,2,0.693147180559945,1,0.5
"16","Wahlgreniella nervata",1,2,0,NA,0,1,7,0,NA,0
