"","Row.names","Richness_Ham","Total_Individuals_Ham","Shannon_Index_Ham","Evenness_Ham","Simpson_Index_Ham","Richness_Plant","Total_Individuals_Plant","Shannon_Index_Plant","Evenness_Plant","Simpson_Index_Plant"
"1","Acyrthosiphon pisum",9,77,1.27776175536229,0.581534436007163,0.553887670770788,1,170,0,NA,0
"2","Amphorophora rubi",4,7,1.15374194270109,0.832248889600231,0.612244897959184,1,93,0,NA,0
"3","Aphis fabae",5,14,1.51245117846645,0.939738753997058,0.76530612244898,3,71,0.832397139750422,0.757680528732816,0.515770680420552
"4","Aphis ruborum",1,1,0,NA,0,1,4,0,NA,0
"5","Aphis sambuci",1,1,0,NA,0,1,1,0,NA,0
"6","Cavariella pastinacae",2,11,0.304636097349238,0.439496986921513,0.165289256198347,4,15,1.0625354080616,0.766457281989699,0.595555555555556
"7","Cavariella theobaldi",3,7,0.955699891112534,0.869915529773626,0.571428571428571,1,25,0,NA,0
"8","Drepanosiphum aceris",2,8,0.562335144618808,0.811278124459133,0.375,1,8,0,NA,0
"9","Drepanosiphum platanoidis",1,10,0,NA,0,2,72,0.286835983056161,0.413816850303634,0.152777777777778
"10","Hyperomyzus lactucae",5,21,1.30409403450682,0.810279181589878,0.671201814058957,1,43,0,NA,0
"11","Macrosiphoniella artemisiae",2,20,0.610864302054894,0.881290899230693,0.42,1,100,0,NA,0
"12","Macrosiphum albifrons",1,8,0,NA,0,1,8,0,NA,0
"13","Macrosiphum euphorbiae",4,49,0.565146593003587,0.407667093550784,0.284048313202832,28,161,2.14877479225797,0.644850814437254,0.787315304193511
"14","Macrosiphum funestum",4,13,1.26585675187274,0.913122629201305,0.698224852071006,1,20,0,NA,0
"15","Macrosiphum gei",5,13,1.04379388084415,0.648545602648026,0.497041420118343,2,78,0.30194418164702,0.435613373487432,0.163379355687048
"16","Macrosiphum hellebori",2,8,0.376770161256437,0.543564443199596,0.21875,3,58,0.173896550526275,0.158287461664111,0.06718192627824
"17","Macrosiphum rosae",1,7,0,NA,0,4,155,0.229366470150874,0.165452934516437,0.0874921956295525
"18","Macrosiphum sp",1,2,0,NA,0,2,2,0.693147180559945,1,0.5
"19","Metopolophium dirhodum",4,16,1.06095815043934,0.765319531114783,0.6015625,8,27,1.7128070982387,0.823686102209464,0.762688614540466
"20","Periphyllus lyropictus",4,34,0.916865256625779,0.661378479448699,0.555363321799308,1,55,0,NA,0
"21","Periphyllus testudinaceus",1,10,0,NA,0,3,12,0.918427784993098,0.835988996724716,0.569444444444444
"22","Rhopalomyzus lonicerae",1,1,0,NA,0,1,1,0,NA,0
"23","Sitobion avenae",5,16,1.33166028682243,0.82740705716845,0.6875,9,21,1.9480533458215,0.886597285464191,0.829931972789116
"24","Sitobion fragariae",3,3,1.09861228866811,1,0.666666666666667,3,18,0.848685557726417,0.77250688571426,0.493827160493827
"25","Tuberculatus sp1",1,2,0,NA,0,1,2,0,NA,0
"26","Uroleucon ambrosiae",1,4,0,NA,0,3,4,1.03972077083992,0.946394630357186,0.625
"27","Uroleucon escalantii",1,1,0,NA,0,1,1,0,NA,0
"28","Uroleucon sonchi",1,1,0,NA,0,1,22,0,NA,0
"29","Uroleucon sp5",1,1,0,NA,0,1,1,0,NA,0
"30","Utamphorophora humboldti",1,2,0,NA,0,1,2,0,NA,0
"31","Wahlgreniella nervata",1,2,0,NA,0,1,7,0,NA,0
