No,City,Location,Sample category,Sample code,Collection year,Aphid taxa,Wasp taxa,Plant species,Hamiltonella strain,Sequencing method,Sequencing date,Data source
1,London,"Mile End Park, North",Parasitoid,1,2021,Macrosiphoniella artemisiae,Aphidius absinthii,Artemisia vulgaris,NA,Sanger,16/07/2021,This study
2,London,"Mile End Park, North",Parasitoid,2,2021,Macrosiphoniella artemisiae,Aphidius absinthii,Artemisia vulgaris,NA,Sanger,16/07/2021,This study
3,London,"Mile End Park, North",Parasitoid,3,2021,Macrosiphoniella artemisiae,Aphidius absinthii,Artemisia vulgaris,NA,Sanger,16/07/2021,This study
4,London,"Mile End Park, North",Parasitoid,2,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,29/07/2021,This study
5,London,"Mile End Park, North",Parasitoid,3,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,29/07/2021,This study
6,London,"Mile End Park, North",Parasitoid,4,2021,Acyrthosiphon pisum,Aphidius banksae,Medicago sativa,NA,Sanger,29/07/2021,This study
7,London,"Mile End Park, North",Parasitoid,5,2021,Acyrthosiphon pisum,Praon barbatum,Medicago sativa,NA,Sanger,29/07/2021,This study
8,London,"Mile End Park, North",Parasitoid,6,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,29/07/2021,This study
9,London,"Mile End Park, North",Parasitoid,1,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
10,London,"Mile End Park, North",Parasitoid,31,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
11,London,"Mile End Park, North",Parasitoid,32,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
12,London,"Mile End Park, North",Parasitoid,4,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
13,London,"Mile End Park, North",Parasitoid,6,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
14,London,"Mile End Park, North",Parasitoid,7,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
15,London,"Mile End Park, North",Parasitoid,8,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
16,London,"Mile End Park, North",Parasitoid,9,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,14/09/2021,This study
17,London,"Mile End Park, North",Parasitoid,1,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,02/07/2021,This study
18,London,"Mile End Park, North",Parasitoid,2,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,02/07/2021,This study
19,London,"Mile End Park, North",Parasitoid,1,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,16/06/2021,This study
20,London,"Mile End Park, North",Parasitoid,2,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,16/06/2021,This study
21,London,"Mile End Park, North",Parasitoid,3,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,16/06/2021,This study
22,London,"Mile End Park, North",Parasitoid,4,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,16/06/2021,This study
23,London,"Mile End Park, North",Parasitoid,5,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,16/06/2021,This study
24,London,"Mile End Park, North",Parasitoid,6,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,16/06/2021,This study
25,London,"Mile End Park, North",Parasitoid,1,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,22/06/2021,This study
26,London,"Mile End Park, North",Parasitoid,2,2021,Acyrthosiphon pisum,Aphidius ervi,Medicago sativa,NA,Sanger,22/06/2021,This study
27,London,"Mile End Park, South",Parasitoid,1,2021,Acyrthosiphon pisum,Praon barbatum,Medicago sativa,NA,Sanger,27/10/2021,This study
