"","Adelges_cooleyi","Acyrthosiphon_pisum","Amphorophora_rubi","Aphis_fabae","Aphis_ruborum","Aphis_sambuci","Cavariella_pastinacae","Cavariella_theobaldi","Drepanosiphum_aceris","Drepanosiphum_platanoidis","Hyperomyzus_lactucae","Macrosiphoniella_artemisiae","Macrosiphum_albifrons","Macrosiphum_euphorbiae","Macrosiphum_funestum","Macrosiphum_gei","Macrosiphum_hellebori","Macrosiphum_rosae","Macrosiphum_sp.","Metopolophium_dirhodum","Periphyllus_lyropictus","Periphyllus_testudinaceus","Rhopalomyzus_lonicerae","Sitobion_avenae","Sitobion_fragariae","Tuberculatus_sp1","Uroleucon_ambrosiae","Uroleucon_escalantii","Uroleucon_sonchi","Uroleucon_sp5","Utamphorophora_humboldti","Wahlgreniella_nervata"
"Adelges_cooleyi",0,0.481132075471698,0.481132075471698,0.5,0.566037735849057,0.764150943396226,0.490566037735849,0.556603773584906,0.462264150943396,0.471698113207547,0.471698113207547,0.490566037735849,0.424528301886792,0.443396226415094,0.443396226415094,0.433962264150943,0.433962264150943,0.462264150943396,0.443396226415094,0.462264150943396,0.471698113207547,0.547169811320755,0.433962264150943,0.452830188679245,0.490566037735849,0.971698113207547,0.462264150943396,0.490566037735849,0.481132075471698,0.5,0.405660377358491,0.481132075471698
"Acyrthosiphon_pisum",0.481132075471698,0,0.273584905660377,0.367924528301887,0.424528301886792,0.688679245283019,0.405660377358491,0.39622641509434,0.5,0.405660377358491,0.235849056603774,0.311320754716981,0.235849056603774,0.235849056603774,0.273584905660377,0.245283018867925,0.207547169811321,0.311320754716981,0.235849056603774,0.235849056603774,0.424528301886792,0.518867924528302,0.311320754716981,0.245283018867925,0.273584905660377,0.905660377358491,0.254716981132075,0.245283018867925,0.30188679245283,0.283018867924528,0.283018867924528,0.245283018867925
"Amphorophora_rubi",0.481132075471698,0.273584905660377,0,0.349056603773585,0.367924528301887,0.660377358490566,0.349056603773585,0.377358490566038,0.509433962264151,0.433962264150943,0.207547169811321,0.254716981132075,0.226415094339623,0.235849056603774,0.254716981132075,0.254716981132075,0.216981132075472,0.283018867924528,0.245283018867925,0.226415094339623,0.471698113207547,0.594339622641509,0.264150943396226,0.245283018867925,0.320754716981132,0.89622641509434,0.226415094339623,0.207547169811321,0.235849056603774,0.235849056603774,0.216981132075472,0.207547169811321
"Aphis_fabae",0.5,0.367924528301887,0.349056603773585,0,0.30188679245283,0.60377358490566,0.377358490566038,0.377358490566038,0.481132075471698,0.424528301886792,0.330188679245283,0.358490566037736,0.377358490566038,0.386792452830189,0.377358490566038,0.405660377358491,0.349056603773585,0.39622641509434,0.39622641509434,0.377358490566038,0.452830188679245,0.528301886792453,0.330188679245283,0.377358490566038,0.405660377358491,0.867924528301887,0.330188679245283,0.358490566037736,0.386792452830189,0.339622641509434,0.320754716981132,0.367924528301887
"Aphis_ruborum",0.566037735849057,0.424528301886792,0.367924528301887,0.30188679245283,0,0.660377358490566,0.405660377358491,0.471698113207547,0.537735849056604,0.5,0.367924528301887,0.424528301886792,0.415094339622642,0.471698113207547,0.424528301886792,0.452830188679245,0.415094339622642,0.462264150943396,0.462264150943396,0.443396226415094,0.462264150943396,0.575471698113208,0.349056603773585,0.443396226415094,0.509433962264151,0.943396226415094,0.443396226415094,0.39622641509434,0.405660377358491,0.433962264150943,0.386792452830189,0.386792452830189
"Aphis_sambuci",0.764150943396226,0.688679245283019,0.660377358490566,0.60377358490566,0.660377358490566,0,0.707547169811321,0.783018867924528,0.792452830188679,0.745283018867924,0.660377358490566,0.660377358490566,0.688679245283019,0.69811320754717,0.69811320754717,0.69811320754717,0.660377358490566,0.716981132075472,0.688679245283019,0.669811320754717,0.707547169811321,0.811320754716981,0.622641509433962,0.679245283018868,0.69811320754717,0.613207547169811,0.660377358490566,0.69811320754717,0.650943396226415,0.669811320754717,0.650943396226415,0.641509433962264
"Cavariella_pastinacae",0.490566037735849,0.405660377358491,0.349056603773585,0.377358490566038,0.405660377358491,0.707547169811321,0,0.245283018867925,0.528301886792453,0.547169811320755,0.377358490566038,0.405660377358491,0.367924528301887,0.433962264150943,0.386792452830189,0.415094339622642,0.39622641509434,0.405660377358491,0.424528301886792,0.415094339622642,0.471698113207547,0.547169811320755,0.339622641509434,0.358490566037736,0.405660377358491,0.962264150943396,0.377358490566038,0.39622641509434,0.386792452830189,0.405660377358491,0.358490566037736,0.358490566037736
"Cavariella_theobaldi",0.556603773584906,0.39622641509434,0.377358490566038,0.377358490566038,0.471698113207547,0.783018867924528,0.245283018867925,0,0.509433962264151,0.452830188679245,0.452830188679245,0.405660377358491,0.462264150943396,0.490566037735849,0.443396226415094,0.452830188679245,0.415094339622642,0.443396226415094,0.462264150943396,0.39622641509434,0.490566037735849,0.556603773584906,0.415094339622642,0.39622641509434,0.424528301886792,0.924528301886792,0.39622641509434,0.405660377358491,0.452830188679245,0.415094339622642,0.39622641509434,0.405660377358491
"Drepanosiphum_aceris",0.462264150943396,0.5,0.509433962264151,0.481132075471698,0.537735849056604,0.792452830188679,0.528301886792453,0.509433962264151,0,0.254716981132075,0.528301886792453,0.5,0.481132075471698,0.528301886792453,0.528301886792453,0.528301886792453,0.5,0.566037735849057,0.518867924528302,0.443396226415094,0.509433962264151,0.547169811320755,0.490566037735849,0.518867924528302,0.537735849056604,0.943396226415094,0.452830188679245,0.528301886792453,0.518867924528302,0.5,0.462264150943396,0.537735849056604
"Drepanosiphum_platanoidis",0.471698113207547,0.405660377358491,0.433962264150943,0.424528301886792,0.5,0.745283018867924,0.547169811320755,0.452830188679245,0.254716981132075,0,0.490566037735849,0.481132075471698,0.405660377358491,0.424528301886792,0.433962264150943,0.443396226415094,0.386792452830189,0.471698113207547,0.433962264150943,0.39622641509434,0.481132075471698,0.556603773584906,0.443396226415094,0.443396226415094,0.462264150943396,0.924528301886792,0.433962264150943,0.443396226415094,0.490566037735849,0.452830188679245,0.405660377358491,0.433962264150943
