"","Species_A","Species_B","Sum_Value","para_Value","symb_Value"
"1","Amphorophora rubi","Aphis fabae",0.401559454191033,0.296296296296296,0.105263157894737
"2","Amphorophora rubi","Cavariella pastinacae",0.25,0,0.25
"3","Amphorophora rubi","Cavariella theobaldi",0.571428571428571,0,0.571428571428571
"4","Amphorophora rubi","Drepanosiphum platanoidis",0,0,0
"5","Amphorophora rubi","Hyperomyzus lactucae",0.08,0,0.08
"6","Amphorophora rubi","Macrosiphoniella artemisiae",0,0,0
"7","Amphorophora rubi","Macrosiphum euphorbiae",0.307692307692308,0,0.307692307692308
"8","Amphorophora rubi","Macrosiphum funestum",0.760338345864662,0.339285714285714,0.421052631578947
"9","Amphorophora rubi","Macrosiphum gei",0.545454545454545,0,0.545454545454545
"10","Amphorophora rubi","Macrosiphum hellebori",0.615384615384615,0,0.615384615384615
"11","Amphorophora rubi","Macrosiphum rosae",0.444444444444444,0,0.444444444444444
"12","Amphorophora rubi","Periphyllus lyropictus",0.0645161290322581,0,0.0645161290322581
"13","Amphorophora rubi","Periphyllus testudinaceus",0,0,0
"14","Amphorophora rubi","Utamphorophora humboldti",0.444444444444444,0,0.444444444444444
"15","Amphorophora rubi","Wahlgreniella nervata",0,0,0
"16","Aphis fabae","Cavariella pastinacae",0.153846153846154,0,0.153846153846154
"17","Aphis fabae","Cavariella theobaldi",0.105263157894737,0,0.105263157894737
"18","Aphis fabae","Drepanosiphum platanoidis",0,0,0
"19","Aphis fabae","Hyperomyzus lactucae",0.0666666666666667,0,0.0666666666666667
"20","Aphis fabae","Macrosiphoniella artemisiae",0,0,0
"21","Aphis fabae","Macrosiphum euphorbiae",0.104516129032258,0.04,0.0645161290322581
"22","Aphis fabae","Macrosiphum funestum",0.598484848484848,0.431818181818182,0.166666666666667
"23","Aphis fabae","Macrosiphum gei",0.125,0,0.125
"24","Aphis fabae","Macrosiphum hellebori",0.111111111111111,0,0.111111111111111
"25","Aphis fabae","Macrosiphum rosae",0.142857142857143,0,0.142857142857143
"26","Aphis fabae","Periphyllus lyropictus",0.0555555555555556,0,0.0555555555555556
"27","Aphis fabae","Periphyllus testudinaceus",0,0,0
"28","Aphis fabae","Utamphorophora humboldti",0.142857142857143,0,0.142857142857143
"29","Aphis fabae","Wahlgreniella nervata",0,0,0
"30","Cavariella pastinacae","Cavariella theobaldi",0.583333333333333,0.333333333333333,0.25
"31","Cavariella pastinacae","Drepanosiphum platanoidis",0,0,0
"32","Cavariella pastinacae","Hyperomyzus lactucae",0,0,0
"33","Cavariella pastinacae","Macrosiphoniella artemisiae",0,0,0
"34","Cavariella pastinacae","Macrosiphum euphorbiae",0.1,0,0.1
"35","Cavariella pastinacae","Macrosiphum funestum",0.153846153846154,0,0.153846153846154
"36","Cavariella pastinacae","Macrosiphum gei",0.4,0,0.4
"37","Cavariella pastinacae","Macrosiphum hellebori",0.285714285714286,0,0.285714285714286
"38","Cavariella pastinacae","Macrosiphum rosae",0.666666666666667,0,0.666666666666667
"39","Cavariella pastinacae","Periphyllus lyropictus",0,0,0
"40","Cavariella pastinacae","Periphyllus testudinaceus",0,0,0
"41","Cavariella pastinacae","Utamphorophora humboldti",0.666666666666667,0,0.666666666666667
"42","Cavariella pastinacae","Wahlgreniella nervata",0,0,0
"43","Cavariella theobaldi","Drepanosiphum platanoidis",0,0,0
"44","Cavariella theobaldi","Hyperomyzus lactucae",0,0,0
"45","Cavariella theobaldi","Macrosiphoniella artemisiae",0,0,0
"46","Cavariella theobaldi","Macrosiphum euphorbiae",0.307692307692308,0,0.307692307692308
"47","Cavariella theobaldi","Macrosiphum funestum",0.421052631578947,0,0.421052631578947
"48","Cavariella theobaldi","Macrosiphum gei",0.545454545454545,0,0.545454545454545
"49","Cavariella theobaldi","Macrosiphum hellebori",0.615384615384615,0,0.615384615384615
"50","Cavariella theobaldi","Macrosiphum rosae",0.444444444444444,0,0.444444444444444
"51","Cavariella theobaldi","Periphyllus lyropictus",0,0,0
"52","Cavariella theobaldi","Periphyllus testudinaceus",0,0,0
"53","Cavariella theobaldi","Utamphorophora humboldti",0.444444444444444,0,0.444444444444444
