"","Species_A","Species_B","Sum_Value","para_Value","symb_Value"
"1","Acyrthosiphon pisum","Amphorophora rubi",0.0238095238095238,0,0.0238095238095238
"2","Acyrthosiphon pisum","Aphis fabae",0.0439560439560439,0,0.0439560439560439
"3","Acyrthosiphon pisum","Aphis ruborum",0,0,0
"4","Acyrthosiphon pisum","Aphis sambuci",0,0,0
"5","Acyrthosiphon pisum","Cavariella pastinacae",0,0,0
"6","Acyrthosiphon pisum","Cavariella theobaldi",0,0,0
"7","Acyrthosiphon pisum","Drepanosiphum aceris",0,0,0
"8","Acyrthosiphon pisum","Drepanosiphum platanoidis",0,0,0
"9","Acyrthosiphon pisum","Hyperomyzus lactucae",0.0408163265306123,0,0.0408163265306123
"10","Acyrthosiphon pisum","Macrosiphoniella artemisiae",0,0,0
"11","Acyrthosiphon pisum","Macrosiphum albifrons",0,0,0
"12","Acyrthosiphon pisum","Macrosiphum euphorbiae",0,0,0
"13","Acyrthosiphon pisum","Macrosiphum funestum",0,0,0
"14","Acyrthosiphon pisum","Macrosiphum gei",0,0,0
"15","Acyrthosiphon pisum","Macrosiphum hellebori",0,0,0
"16","Acyrthosiphon pisum","Macrosiphum rosae",0,0,0
"17","Acyrthosiphon pisum","Macrosiphum sp",0,0,0
"18","Acyrthosiphon pisum","Metopolophium dirhodum",0.172043010752688,0,0.172043010752688
"19","Acyrthosiphon pisum","Periphyllus lyropictus",0.306306306306306,0,0.306306306306306
"20","Acyrthosiphon pisum","Periphyllus testudinaceus",0,0,0
"21","Acyrthosiphon pisum","Rhopalomyzus lonicerae",0,0,0
"22","Acyrthosiphon pisum","Sitobion avenae",0.0860215053763441,0,0.0860215053763441
"23","Acyrthosiphon pisum","Sitobion fragariae",0,0,0
"24","Acyrthosiphon pisum","Tuberculatus sp1",0,0,0
"25","Acyrthosiphon pisum","Uroleucon ambrosiae",0,0,0
"26","Acyrthosiphon pisum","Uroleucon escalantii",0.0256410256410257,0,0.0256410256410257
"27","Acyrthosiphon pisum","Uroleucon sonchi",0.0256410256410257,0,0.0256410256410257
"28","Acyrthosiphon pisum","Uroleucon sp5",0,0,0
"29","Acyrthosiphon pisum","Utamphorophora humboldti",0,0,0
"30","Acyrthosiphon pisum","Wahlgreniella nervata",0,0,0
"31","Amphorophora rubi","Aphis fabae",0.387921022067364,0.292682926829268,0.0952380952380952
"32","Amphorophora rubi","Aphis ruborum",0.0824742268041238,0.0824742268041238,0
"33","Amphorophora rubi","Aphis sambuci",0.25,0,0.25
"34","Amphorophora rubi","Cavariella pastinacae",0.111111111111111,0,0.111111111111111
"35","Amphorophora rubi","Cavariella theobaldi",0.571428571428571,0,0.571428571428571
"36","Amphorophora rubi","Drepanosiphum aceris",0,0,0
"37","Amphorophora rubi","Drepanosiphum platanoidis",0,0,0
"38","Amphorophora rubi","Hyperomyzus lactucae",0.0714285714285714,0,0.0714285714285714
"39","Amphorophora rubi","Macrosiphoniella artemisiae",0,0,0
"40","Amphorophora rubi","Macrosiphum albifrons",0.533333333333333,0,0.533333333333333
"41","Amphorophora rubi","Macrosiphum euphorbiae",0.142857142857143,0,0.142857142857143
"42","Amphorophora rubi","Macrosiphum funestum",0.753982300884956,0.353982300884956,0.4
"43","Amphorophora rubi","Macrosiphum gei",0.4,0,0.4
"44","Amphorophora rubi","Macrosiphum hellebori",0.533333333333333,0,0.533333333333333
"45","Amphorophora rubi","Macrosiphum rosae",0.571428571428571,0,0.571428571428571
"46","Amphorophora rubi","Macrosiphum sp",0.444444444444444,0,0.444444444444444
"47","Amphorophora rubi","Metopolophium dirhodum",0.260869565217391,0,0.260869565217391
"48","Amphorophora rubi","Periphyllus lyropictus",0.0487804878048781,0,0.0487804878048781
"49","Amphorophora rubi","Periphyllus testudinaceus",0,0,0
"50","Amphorophora rubi","Rhopalomyzus lonicerae",0.25,0,0.25
"51","Amphorophora rubi","Sitobion avenae",0.0869565217391305,0,0.0869565217391305
"52","Amphorophora rubi","Sitobion fragariae",0.272072072072072,0.0720720720720721,0.2
"53","Amphorophora rubi","Tuberculatus sp1",0,0,0
"54","Amphorophora rubi","Uroleucon ambrosiae",0,0,0
"55","Amphorophora rubi","Uroleucon escalantii",0,0,0
"56","Amphorophora rubi","Uroleucon sonchi",0,0,0
"57","Amphorophora rubi","Uroleucon sp5",0,0,0
"58","Amphorophora rubi","Utamphorophora humboldti",0.444444444444444,0,0.444444444444444
"59","Amphorophora rubi","Wahlgreniella nervata",0,0,0
"60","Aphis fabae","Aphis ruborum",0.106666666666667,0.106666666666667,0
"61","Aphis fabae","Aphis sambuci",0.133333333333333,0,0.133333333333333
"62","Aphis fabae","Cavariella pastinacae",0.08,0,0.08
"63","Aphis fabae","Cavariella theobaldi",0.0952380952380952,0,0.0952380952380952
"64","Aphis fabae","Drepanosiphum aceris",0,0,0
"65","Aphis fabae","Drepanosiphum platanoidis",0,0,0
"66","Aphis fabae","Hyperomyzus lactucae",0.0571428571428572,0,0.0571428571428572
"67","Aphis fabae","Macrosiphoniella artemisiae",0,0,0
"68","Aphis fabae","Macrosiphum albifrons",0.0909090909090909,0,0.0909090909090909
"69","Aphis fabae","Macrosiphum euphorbiae",0.0662287903667214,0.0344827586206896,0.0317460317460317
"70","Aphis fabae","Macrosiphum funestum",0.587708587708588,0.43956043956044,0.148148148148148
"71","Aphis fabae","Macrosiphum gei",0.0740740740740741,0,0.0740740740740741
